coordx,coordy,dist
1,1,2233
2,1,2276
3,1,2182
4,1,2204
5,1,2163
6,1,2142
7,1,2138
8,1,2141
9,1,2141
10,1,2163
11,1,2126
12,1,2147
13,1,2155
14,1,2149
15,1,2176
16,1,2219
17,1,2211
18,1,2172
19,1,2227
20,1,2270
1,2,2307
2,2,2381
3,2,2371
4,2,2398
5,2,2363
6,2,2344
7,2,2353
8,2,2357
9,2,2353
10,2,2357
11,2,2338
12,2,2357
13,2,2353
14,2,2333
15,2,2385
16,2,2397
17,2,2371
18,2,2413
19,2,2409
20,2,2485
1,3,2363
2,3,2463
3,3,2529
4,3,2563
5,3,2537
6,3,2569
7,3,2530
8,3,2541
9,3,2524
10,3,2524
11,3,2537
12,3,2525
13,3,2548
14,3,2553
15,3,2580
16,3,2569
17,3,2581
18,3,2601
19,3,2642
20,3,2634
1,4,2438
2,4,2513
3,4,2620
4,4,2763
5,4,2738
6,4,2722
7,4,2713
8,4,2753
9,4,2727
10,4,2718
11,4,2687
12,4,2745
13,4,2749
14,4,2767
15,4,2745
16,4,2806
17,4,2783
18,4,2818
19,4,2916
20,4,2952
1,5,2575
2,5,2626
3,5,2716
4,5,2863
5,5,2878
6,5,2852
7,5,2890
8,5,2847
9,5,2819
10,5,2803
11,5,2805
12,5,2803
13,5,2852
14,5,2852
15,5,2915
16,5,2875
17,5,2940
18,5,2921
19,5,2940
20,5,3123
1,6,2642
2,6,2761
3,6,2817
4,6,2915
5,6,2884
6,6,2884
7,6,2852
8,6,2803
9,6,2847
10,6,2781
11,6,2834
12,6,2838
13,6,2852
14,6,2838
15,6,2854
16,6,2854
17,6,2884
18,6,2894
19,6,2978
20,6,3007
1,7,2612
2,7,2763
3,7,2832
4,7,2884
5,7,2838
6,7,2906
7,7,2822
8,7,2822
9,7,2781
10,7,2803
11,7,2755
12,7,2779
13,7,2822
14,7,2838
15,7,2854
16,7,2854
17,7,2860
18,7,2958
19,7,2940
20,7,2952
1,8,2618
2,8,2797
3,8,2900
4,8,2884
5,8,2868
6,8,2834
7,8,2779
8,8,2803
9,8,2767
10,8,2803
11,8,2741
12,8,2795
13,8,2803
14,8,2791
15,8,2834
16,8,2838
17,8,2803
18,8,2902
19,8,2906
20,8,2902
1,9,2655
2,9,2774
3,9,2900
4,9,2900
5,9,2803
6,9,2819
7,9,2803
8,9,2741
9,9,2805
10,9,2757
11,9,2746
12,9,2741
13,9,2783
14,9,2755
15,9,2755
16,9,2761
17,9,2906
18,9,2940
19,9,2958
20,9,2965
1,10,2612
2,10,2756
3,10,2883
4,10,2862
5,10,2847
6,10,2755
7,10,2781
8,10,2757
9,10,2772
10,10,2761
11,10,2727
12,10,2705
13,10,2730
14,10,2730
15,10,2832
16,10,2803
17,10,2791
18,10,2840
19,10,2894
20,10,2902
1,11,2624
2,11,2740
3,11,2832
4,11,2822
5,11,2803
6,11,2797
7,11,2757
8,11,2720
9,11,2761
10,11,2717
11,11,2727
12,11,2727
13,11,2711
14,11,2767
15,11,2781
16,11,2781
17,11,2806
18,11,2806
19,11,2803
20,11,2965
1,12,2640
2,12,2711
3,12,2832
4,12,2781
5,12,2755
6,12,2795
7,12,2757
8,12,2783
9,12,2727
10,12,2717
11,12,2686
12,12,2751
13,12,2751
14,12,2736
15,12,2757
16,12,2803
17,12,2822
18,12,2775
19,12,2791
20,12,2866
1,13,2587
2,13,2695
3,13,2803
4,13,2819
5,13,2803
6,13,2741
7,13,2746
8,13,2772
9,13,2727
